id,infinitiv,presens,preteritum,perfektum,inflId
A34758nb,lekke,lekker,lekket,lekket,P010nb
A7103nb,bortlede,bortleder,bortleda,bortleda,P001nb
A7103nb,bortlede,bortleder,bortledet,bortledet,P010nb
A13002nb,erindre,erindrer,erindra,erindra,P001nb
A13002nb,erindre,erindrer,erindret,erindret,P010nb
A19684nb,gispe,gisper,gispa,gispa,P001nb
A19684nb,gispe,gisper,gispet,gispet,P010nb
A57568nb,stratifisere,stratifiserer,stratifiserte,stratifisert,P020nb
A58324nb,sulle,suller,sulla,sulla,P001nb
A58324nb,sulle,suller,sullet,sullet,P010nb
A18106nb,friste,frister,frista,frista,P001nb
A18106nb,friste,frister,fristet,fristet,P010nb
A12nb,abandonere,abandonerer,abandonerte,abandonert,P020nb
A21997nb,halshogge,halshogger,halshogde,halshogd,P031nb
A21997nb,halshogge,halshogger,halshogg,halshogd,P052nb
A21997nb,halshugge,halshugger,halshugget,halshugget,P010nb
A21997nb,halshugge,halshugger,halshugde,halshugd,P031nb
A21997nb,halshugge,halshugger,halshugg,halshugd,P052nb
A70577nb,globalisere,globaliserer,globaliserte,globalisert,P020nb
A16437nb,forkopre,forkoprer,forkopra,forkopra,P001nb
A16437nb,forkopre,forkoprer,forkopret,forkopret,P010nb
A16437nb,forkobre,forkobrer,forkobra,forkobra,P001nb
A16437nb,forkobre,forkobrer,forkobret,forkobret,P010nb
A12713nb,engasjere,engasjerer,engasjerte,engasjert,P020nb
A6252nb,blakke,blakker,blakka,blakka,P001nb
A6252nb,blakke,blakker,blakket,blakket,P010nb
A15310nb,flekke,flekker,flekket,flekket,P010nb
A15310nb,flekke,flekker,flekte,flekt,P021nb
A65484nb,utkrystallisere,utkrystalliserer,utkrystalliserte,utkrystallisert,P020nb
A69356nb,våre,vårer,våra,våra,P001nb
A69356nb,våre,vårer,våret,våret,P010nb
A57065nb,sterkne,sterkner,sterkna,sterkna,P001nb
A57065nb,sterkne,sterkner,sterknet,sterknet,P010nb
